community,DK_intercept,DK_coef,DK_se,max_dist_BHHban,BC_movements_shortTerm,BC_movements_permanent
Bokong,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Lobus,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Mili,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Noeolin,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Oeleu,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Sambet,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Skinu,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Toianas,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Tuataum,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
